,RPRTBL_EVENT_SERL,EVENT_DATE,EVENT_SEVTY_C,FY,EVENT_CLASSN_C,SHIP_PER_INJ_I,INVLVD_SHIP_UIC,VESL_NAME_A,VESL_TYPE_A,INVLVD_ACFT_SERL,ACFT_MODEL,COUNT_ACFT_I,EMBRKD_ASHR,INVLVD_PER_SERL,AGE,INJ_CLASSN_C,PAY_GRADE,RANK_RATE,RATEG,RPRTG_UIC,EVENT_SHORT_NARR,INCDT_OCCURN_SERL,INCDT_PHASE_OPS_C,INCDT_TYPE_C,INCDT_PHASE_OPS,INCDT_TYPE,SEX,INJ_CLASSN,Deck?
0,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49465,,H,O03,LT,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151487,52Z,A3,NO FURTHER BREAKDOWN,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
1,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49465,,H,O03,LT,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151488,52Z,PD,NO FURTHER BREAKDOWN,AIRFRAME,,NO INJURY OR ILLNESS,
2,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49466,,H,O02,LTJG,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151487,52Z,A3,NO FURTHER BREAKDOWN,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
3,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49466,,H,O02,LTJG,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151488,52Z,PD,NO FURTHER BREAKDOWN,AIRFRAME,,NO INJURY OR ILLNESS,
4,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49467,,H,O04,LCDR,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151487,52Z,A3,NO FURTHER BREAKDOWN,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
5,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49467,,H,O04,LCDR,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151488,52Z,PD,NO FURTHER BREAKDOWN,AIRFRAME,,NO INJURY OR ILLNESS,
6,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49468,,H,O03,LT,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151487,52Z,A3,NO FURTHER BREAKDOWN,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
7,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49468,,H,O03,LT,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151488,52Z,PD,NO FURTHER BREAKDOWN,AIRFRAME,,NO INJURY OR ILLNESS,
8,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49469,,H,O02,LTJG,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151487,52Z,A3,NO FURTHER BREAKDOWN,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
9,80604,4/1/1997 12:00:00 AM,C,1997,1C,N,N03362,INDEPENDENCE,CV,85709,E002C,Y,E,49469,,H,O02,LTJG,,N09209,ACFT STRUCK AND DAMAGED 3 PARKED ACFT ON NIGHT CARRIER LANDING.       ,151488,52Z,PD,NO FURTHER BREAKDOWN,AIRFRAME,,NO INJURY OR ILLNESS,
