,RPRTBL_EVENT_SERL,EVENT_DATE,EVENT_SEVTY_C,FY,EVENT_CLASSN_C,SHIP_PER_INJ_I,INVLVD_SHIP_UIC,VESL_NAME_A,VESL_TYPE_A,INVLVD_ACFT_SERL,ACFT_MODEL,COUNT_ACFT_I,EMBRKD_ASHR,INVLVD_PER_SERL,AGE,INJ_CLASSN_C,PAY_GRADE,RANK_RATE,Rank Description,RATEG,Full RATEG Description,Full RATEG Division,RPRTG_UIC,EVENT_SHORT_NARR,INCDT_OCCURN_SERL,INCDT_PHASE_OPS_C,INCDT_TYPE_C,INCDT_PHASE_OPS,INCDT_TYPE,SEX,INJ_CLASSN,Error,Deck?,Fault,High/Low,Event Description,Continue,anomaly,(Y/S) drop incident due to lack of information for interpretation,Human Involved?
0,100123,1/28/2010 12:00:00 AM,C,2010.0,1C,N,N03369,USS DWIGHT D EISENHOWER,CVN,106757,F018F,Y,E,93541,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09718,"AIRCRAFT & ATFLIR DAMAGE BY HAIL, SUPPORTING GROUND COMBAT ELEMENTS.  ",189892,41Z,PD,NO FURTHER BREAKDOWN,AIRFRAME,M,NO INJURY OR ILLNESS,,,,Low,Weather Damage,,,,No
1,100123,1/28/2010 12:00:00 AM,C,2010.0,1C,N,N03369,USS DWIGHT D EISENHOWER,CVN,106757,F018F,Y,E,93541,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09718,"AIRCRAFT & ATFLIR DAMAGE BY HAIL, SUPPORTING GROUND COMBAT ELEMENTS.  ",189893,44A,P1,HIGH ALTITUDE BOMBING,FLIGHT CONTROLS,M,NO INJURY OR ILLNESS,,,,Low,Weather Damage,,,,No
2,100123,1/28/2010 12:00:00 AM,C,2010.0,1C,N,N03369,USS DWIGHT D EISENHOWER,CVN,106757,F018F,Y,E,93541,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09718,"AIRCRAFT & ATFLIR DAMAGE BY HAIL, SUPPORTING GROUND COMBAT ELEMENTS.  ",189894,44A,XW,HIGH ALTITUDE BOMBING,HAZARDOUS CONDITION DUE TO WEATHER PHENOMENON,M,NO INJURY OR ILLNESS,,,,Low,Weather Damage,,,,No
3,100123,1/28/2010 12:00:00 AM,C,2010.0,1C,N,N03369,USS DWIGHT D EISENHOWER,CVN,106757,F018F,Y,E,93542,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09718,"AIRCRAFT & ATFLIR DAMAGE BY HAIL, SUPPORTING GROUND COMBAT ELEMENTS.  ",189892,41Z,PD,NO FURTHER BREAKDOWN,AIRFRAME,M,NO INJURY OR ILLNESS,,,,Low,Weather Damage,,,,No
4,100123,1/28/2010 12:00:00 AM,C,2010.0,1C,N,N03369,USS DWIGHT D EISENHOWER,CVN,106757,F018F,Y,E,93542,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09718,"AIRCRAFT & ATFLIR DAMAGE BY HAIL, SUPPORTING GROUND COMBAT ELEMENTS.  ",189893,44A,P1,HIGH ALTITUDE BOMBING,FLIGHT CONTROLS,M,NO INJURY OR ILLNESS,,,,Low,Weather Damage,,,,No
5,100123,1/28/2010 12:00:00 AM,C,2010.0,1C,N,N03369,USS DWIGHT D EISENHOWER,CVN,106757,F018F,Y,E,93542,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09718,"AIRCRAFT & ATFLIR DAMAGE BY HAIL, SUPPORTING GROUND COMBAT ELEMENTS.  ",189894,44A,XW,HIGH ALTITUDE BOMBING,HAZARDOUS CONDITION DUE TO WEATHER PHENOMENON,M,NO INJURY OR ILLNESS,,,,Low,Weather Damage,,,,No
6,100175,9/18/2008 12:00:00 AM,C,2008.0,1C,N,N03369,DWIGHT D EISENHOWER,CVN,106860,F018C,Y,E,93727,,H,O05,CDR,Commander,,Unknown,Unknown,N09223,UPPER TAILHOOK ACTUATOR FAILED ON ARRESTED LANDING. NO INJURIES.      ,190036,510,J5,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,FLIGHT DECK OF CV/LHA/LPH,M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
7,100278,7/26/2007 12:00:00 AM,C,2007.0,1C,N,N21297,ABRAHAM LINCOLN,CVN,106971,E002C,Y,E,93976,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09465,DUR. ARRESTING LNDG THE CATAPULT TOW LINK WAS DOWN & IMPACTED #4 WIRE.,190218,520,PH,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,"LANDING GEAR (STRUTS, BRAKES, TIRES, ETC)",M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
8,100278,7/26/2007 12:00:00 AM,C,2007.0,1C,N,N21297,ABRAHAM LINCOLN,CVN,106971,E002C,Y,E,93977,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09465,DUR. ARRESTING LNDG THE CATAPULT TOW LINK WAS DOWN & IMPACTED #4 WIRE.,190218,520,PH,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,"LANDING GEAR (STRUTS, BRAKES, TIRES, ETC)",M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
9,100278,7/26/2007 12:00:00 AM,C,2007.0,1C,N,N21297,ABRAHAM LINCOLN,CVN,106971,E002C,Y,E,93978,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09465,DUR. ARRESTING LNDG THE CATAPULT TOW LINK WAS DOWN & IMPACTED #4 WIRE.,190218,520,PH,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,"LANDING GEAR (STRUTS, BRAKES, TIRES, ETC)",M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
